Window Name,Username,User ID,Review,Sentiment
Flipkart,ArjunDev_67,U1038,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,KunalV_82,U1039,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,MeeraJain_88,U1040,Very bad customer service experience.,Negative
Flipkart,KunalV_81,U1041,Very bad customer service experience.,Negative
Flipkart,SimranK_42,U1042,"Performance is average, nothing exceptional.",Neutral
Amazon,Vinay_17,U1043,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,MeeraJain_58,U1044,"Design is nice, but functionality could be better.",Neutral
Flipkart,SnehaM_28,U1045,Amazing product quality and quick delivery.,Positive
Amazon,KunalV_28,U1046,Amazing product quality and quick delivery.,Positive
Flipkart,KunalV_77,U1047,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,ArjunDev_23,U1048,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,AmitB_23,U1049,"Performance is average, nothing exceptional.",Neutral
Flipkart,RahulK_61,U1050,The product stopped working after a week.,Negative
Amazon,AmitB_54,U1051,The product stopped working after a week.,Negative
Flipkart,RohitP_25,U1052,Very bad customer service experience.,Negative
Amazon,KunalV_92,U1053,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,KunalV_18,U1054,Amazing product quality and quick delivery.,Positive
Flipkart,SnehaM_96,U1055,"Performance is average, nothing exceptional.",Neutral
Amazon,ArjunDev_72,U1056,"It's fine for casual use, but not professional work.",Neutral
Flipkart,SnehaM_52,U1057,"Design is nice, but functionality could be better.",Neutral
Flipkart,SimranK_15,U1058,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,SnehaM_87,U1059,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,SimranK_19,U1060,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,KunalV_98,U1061,Very bad customer service experience.,Negative
Amazon,RohitP_93,U1062,"It's fine for casual use, but not professional work.",Neutral
Flipkart,ArjunDev_23,U1063,Amazing product quality and quick delivery.,Positive
Amazon,RohitP_50,U1064,"It's fine for casual use, but not professional work.",Neutral
Amazon,PriyaS_83,U1065,"Performance is average, nothing exceptional.",Neutral
Amazon,RohitP_49,U1066,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,ArjunDev_27,U1067,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,SimranK_37,U1068,"Performance is average, nothing exceptional.",Neutral
Amazon,SimranK_72,U1069,The headphones have crystal clear sound and great bass.,Positive
Amazon,SimranK_80,U1070,Amazing product quality and quick delivery.,Positive
Flipkart,SnehaM_91,U1071,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,KunalV_88,U1072,Poor build quality and slow performance.,Negative
Flipkart,MeeraJain_86,U1073,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,MeeraJain_75,U1074,The headphones have crystal clear sound and great bass.,Positive
Flipkart,PriyaS_40,U1075,"Performance is average, nothing exceptional.",Neutral
Flipkart,SimranK_39,U1076,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,PriyaS_67,U1077,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,AmitB_42,U1078,"Performance is average, nothing exceptional.",Neutral
Flipkart,SimranK_39,U1079,The headphones have crystal clear sound and great bass.,Positive
Flipkart,KunalV_31,U1080,"Performance is average, nothing exceptional.",Neutral
Flipkart,AmitB_48,U1081,Amazing product quality and quick delivery.,Positive
Amazon,AmitB_32,U1082,The headphones have crystal clear sound and great bass.,Positive
Amazon,RahulK_70,U1083,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,ArjunDev_66,U1084,Poor build quality and slow performance.,Negative
Amazon,RahulK_31,U1085,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,RohitP_18,U1086,"Design is nice, but functionality could be better.",Neutral
Amazon,RahulK_71,U1087,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,PriyaS_57,U1088,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,ArjunDev_55,U1089,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,MeeraJain_90,U1090,"It's fine for casual use, but not professional work.",Neutral
Amazon,RahulK_63,U1091,"It's fine for casual use, but not professional work.",Neutral
Flipkart,RahulK_75,U1092,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,RohitP_10,U1093,"It's fine for casual use, but not professional work.",Neutral
Flipkart,SnehaM_44,U1094,The headphones have crystal clear sound and great bass.,Positive
Flipkart,ArjunDev_22,U1095,Amazing product quality and quick delivery.,Positive
Flipkart,AmitB_54,U1096,"It's fine for casual use, but not professional work.",Neutral
Flipkart,KunalV_56,U1097,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,Vinay_73,U1098,"It's fine for casual use, but not professional work.",Neutral
Amazon,MeeraJain_88,U1099,"Product is decent, but not worth the price.",Neutral
Amazon,RahulK_98,U1100,The headphones have crystal clear sound and great bass.,Positive
Amazon,RohitP_58,U1101,"Product is decent, but not worth the price.",Neutral
Flipkart,Vinay_68,U1102,Poor build quality and slow performance.,Negative
Amazon,SnehaM_58,U1103,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,ArjunDev_41,U1104,"Product is decent, but not worth the price.",Neutral
Amazon,SimranK_44,U1105,"Performance is average, nothing exceptional.",Neutral
Amazon,MeeraJain_23,U1106,"It's fine for casual use, but not professional work.",Neutral
Flipkart,KunalV_43,U1107,"Product is decent, but not worth the price.",Neutral
Amazon,ArjunDev_35,U1108,The product stopped working after a week.,Negative
Amazon,AmitB_33,U1109,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,RohitP_21,U1110,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,SnehaM_77,U1111,The product stopped working after a week.,Negative
Amazon,SimranK_84,U1112,"Design is nice, but functionality could be better.",Neutral
Amazon,RohitP_49,U1113,"Product is decent, but not worth the price.",Neutral
Flipkart,SimranK_82,U1114,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,SimranK_37,U1115,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,ArjunDev_52,U1116,"Performance is average, nothing exceptional.",Neutral
Amazon,SnehaM_60,U1117,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,MeeraJain_77,U1118,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,RohitP_45,U1119,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,RohitP_34,U1120,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,ArjunDev_72,U1121,Amazing product quality and quick delivery.,Positive
Flipkart,KunalV_43,U1122,"Performance is average, nothing exceptional.",Neutral
Amazon,KunalV_87,U1123,"It's fine for casual use, but not professional work.",Neutral
Amazon,SimranK_32,U1124,"Design is nice, but functionality could be better.",Neutral
Flipkart,ArjunDev_51,U1125,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Amazon,MeeraJain_53,U1126,"It's fine for casual use, but not professional work.",Neutral
Amazon,PriyaS_57,U1127,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,RohitP_52,U1128,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,Vinay_65,U1129,"It's fine for casual use, but not professional work.",Neutral
Amazon,SnehaM_18,U1130,"Design is nice, but functionality could be better.",Neutral
Flipkart,ArjunDev_17,U1131,"Performance is average, nothing exceptional.",Neutral
Amazon,SnehaM_68,U1132,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Amazon,ArjunDev_23,U1133,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,MeeraJain_62,U1134,Very bad customer service experience.,Negative
Flipkart,AmitB_34,U1135,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,KunalV_50,U1136,Amazing product quality and quick delivery.,Positive
Flipkart,KunalV_45,U1137,Very bad customer service experience.,Negative
Amazon,AmitB_55,U1138,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,KunalV_74,U1139,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,SimranK_56,U1140,"Performance is average, nothing exceptional.",Neutral
Flipkart,RohitP_94,U1141,Very bad customer service experience.,Negative
Flipkart,Vinay_56,U1142,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,RohitP_51,U1143,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,ArjunDev_39,U1144,Amazing product quality and quick delivery.,Positive
Flipkart,SimranK_76,U1145,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,KunalV_13,U1146,"It's fine for casual use, but not professional work.",Neutral
Flipkart,SnehaM_35,U1147,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,Vinay_95,U1148,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,RahulK_80,U1149,The headphones have crystal clear sound and great bass.,Positive
Amazon,SnehaM_53,U1150,Amazing product quality and quick delivery.,Positive
Flipkart,Vinay_61,U1151,"Product is decent, but not worth the price.",Neutral
Flipkart,RohitP_38,U1152,The product stopped working after a week.,Negative
Amazon,RahulK_14,U1153,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,RahulK_37,U1154,"Performance is average, nothing exceptional.",Neutral
Flipkart,Vinay_35,U1155,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,PriyaS_55,U1156,"It's fine for casual use, but not professional work.",Neutral
Flipkart,ArjunDev_85,U1157,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Amazon,PriyaS_53,U1158,"Design is nice, but functionality could be better.",Neutral
Flipkart,ArjunDev_17,U1159,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,RahulK_28,U1160,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,Vinay_88,U1161,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,RohitP_94,U1162,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,ArjunDev_55,U1163,Very bad customer service experience.,Negative
Flipkart,SimranK_60,U1164,The product stopped working after a week.,Negative
Amazon,Vinay_31,U1165,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,Vinay_57,U1166,"Product is decent, but not worth the price.",Neutral
Flipkart,PriyaS_37,U1167,The headphones have crystal clear sound and great bass.,Positive
Flipkart,MeeraJain_18,U1168,"It's fine for casual use, but not professional work.",Neutral
Amazon,Vinay_25,U1169,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Amazon,SnehaM_70,U1170,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,PriyaS_94,U1171,"Design is nice, but functionality could be better.",Neutral
Amazon,RohitP_11,U1172,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,PriyaS_48,U1173,"It's fine for casual use, but not professional work.",Neutral
Flipkart,SimranK_97,U1174,"Design is nice, but functionality could be better.",Neutral
Amazon,RohitP_38,U1175,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,ArjunDev_63,U1176,Poor build quality and slow performance.,Negative
Amazon,SnehaM_10,U1177,Amazing product quality and quick delivery.,Positive
Flipkart,ArjunDev_20,U1178,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,PriyaS_61,U1179,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Amazon,SimranK_60,U1180,Amazing product quality and quick delivery.,Positive
Flipkart,Vinay_65,U1181,"Design is nice, but functionality could be better.",Neutral
Amazon,SimranK_40,U1182,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,ArjunDev_31,U1183,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,RahulK_35,U1184,Very bad customer service experience.,Negative
Flipkart,MeeraJain_99,U1185,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,SimranK_56,U1186,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,KunalV_58,U1187,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,MeeraJain_21,U1188,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,MeeraJain_11,U1189,Very bad customer service experience.,Negative
Flipkart,KunalV_87,U1190,"Product is decent, but not worth the price.",Neutral
Flipkart,MeeraJain_42,U1191,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,PriyaS_67,U1192,"Design is nice, but functionality could be better.",Neutral
Flipkart,Vinay_26,U1193,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,ArjunDev_67,U1194,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,MeeraJain_58,U1195,"It's fine for casual use, but not professional work.",Neutral
Flipkart,RohitP_49,U1196,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,KunalV_29,U1197,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,RahulK_83,U1198,The product stopped working after a week.,Negative
Amazon,AmitB_12,U1199,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,AmitB_77,U1200,"Performance is average, nothing exceptional.",Neutral
Flipkart,Vinay_68,U1201,"Performance is average, nothing exceptional.",Neutral
Flipkart,RohitP_91,U1202,Very bad customer service experience.,Negative
Flipkart,KunalV_69,U1203,Poor build quality and slow performance.,Negative
Amazon,RohitP_53,U1204,The headphones have crystal clear sound and great bass.,Positive
Amazon,SimranK_68,U1205,Poor build quality and slow performance.,Negative
Flipkart,KunalV_87,U1206,The headphones have crystal clear sound and great bass.,Positive
Amazon,AmitB_34,U1207,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,SimranK_38,U1208,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Amazon,PriyaS_57,U1209,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,AmitB_93,U1210,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,PriyaS_17,U1211,The headphones have crystal clear sound and great bass.,Positive
Flipkart,ArjunDev_43,U1212,Poor build quality and slow performance.,Negative
Amazon,RahulK_22,U1213,"Performance is average, nothing exceptional.",Neutral
Flipkart,ArjunDev_28,U1214,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,Vinay_59,U1215,Poor build quality and slow performance.,Negative
Amazon,KunalV_83,U1216,Amazing product quality and quick delivery.,Positive
Amazon,Vinay_87,U1217,Poor build quality and slow performance.,Negative
Amazon,SimranK_11,U1218,Amazing product quality and quick delivery.,Positive
Amazon,RohitP_86,U1219,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,Vinay_26,U1220,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,RahulK_77,U1221,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,SnehaM_93,U1222,The headphones have crystal clear sound and great bass.,Positive
Amazon,ArjunDev_53,U1223,The product stopped working after a week.,Negative
Flipkart,RahulK_31,U1224,"Design is nice, but functionality could be better.",Neutral
Flipkart,SimranK_32,U1225,"Product is decent, but not worth the price.",Neutral
Flipkart,SimranK_78,U1226,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,Vinay_63,U1227,The product stopped working after a week.,Negative
Amazon,Vinay_43,U1228,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,PriyaS_41,U1229,"It's fine for casual use, but not professional work.",Neutral
Flipkart,AmitB_38,U1230,"Product is decent, but not worth the price.",Neutral
Flipkart,KunalV_72,U1231,Poor build quality and slow performance.,Negative
Flipkart,SimranK_41,U1232,"Performance is average, nothing exceptional.",Neutral
Flipkart,AmitB_67,U1233,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,SimranK_46,U1234,"It's fine for casual use, but not professional work.",Neutral
Flipkart,SnehaM_43,U1235,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,RahulK_83,U1236,"Product is decent, but not worth the price.",Neutral
Amazon,SimranK_47,U1237,The product stopped working after a week.,Negative
Flipkart,SimranK_70,U1238,"Design is nice, but functionality could be better.",Neutral
Flipkart,RahulK_14,U1239,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,ArjunDev_20,U1240,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,RahulK_86,U1241,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,KunalV_62,U1242,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,Vinay_71,U1243,Very bad customer service experience.,Negative
Flipkart,MeeraJain_55,U1244,Poor build quality and slow performance.,Negative
Amazon,RohitP_41,U1245,Very bad customer service experience.,Negative
Flipkart,PriyaS_79,U1246,"It's fine for casual use, but not professional work.",Neutral
Flipkart,ArjunDev_63,U1247,The product stopped working after a week.,Negative
Flipkart,RahulK_99,U1248,The headphones have crystal clear sound and great bass.,Positive
Amazon,RohitP_94,U1249,"Product is decent, but not worth the price.",Neutral
Amazon,MeeraJain_81,U1250,The product stopped working after a week.,Negative
Amazon,RahulK_90,U1251,"Performance is average, nothing exceptional.",Neutral
Amazon,RohitP_58,U1252,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,ArjunDev_80,U1253,"Performance is average, nothing exceptional.",Neutral
Amazon,KunalV_32,U1254,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,ArjunDev_65,U1255,"Design is nice, but functionality could be better.",Neutral
Amazon,Vinay_85,U1256,"It's fine for casual use, but not professional work.",Neutral
Flipkart,SimranK_56,U1257,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,PriyaS_43,U1258,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,RohitP_17,U1259,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,KunalV_58,U1260,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,AmitB_80,U1261,"It's fine for casual use, but not professional work.",Neutral
Flipkart,ArjunDev_92,U1262,The headphones have crystal clear sound and great bass.,Positive
Flipkart,ArjunDev_65,U1263,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,PriyaS_80,U1264,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,MeeraJain_52,U1265,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Flipkart,PriyaS_57,U1266,The product stopped working after a week.,Negative
Flipkart,KunalV_20,U1267,"Performance is average, nothing exceptional.",Neutral
Flipkart,SnehaM_81,U1268,"Product is decent, but not worth the price.",Neutral
Flipkart,ArjunDev_33,U1269,"It's fine for casual use, but not professional work.",Neutral
Flipkart,SnehaM_70,U1270,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,PriyaS_80,U1271,"Product is decent, but not worth the price.",Neutral
Amazon,Vinay_42,U1272,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,PriyaS_22,U1273,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Flipkart,AmitB_11,U1274,"Design is nice, but functionality could be better.",Neutral
Flipkart,MeeraJain_38,U1275,The product stopped working after a week.,Negative
Flipkart,ArjunDev_25,U1276,The headphones have crystal clear sound and great bass.,Positive
Amazon,ArjunDev_91,U1277,The product stopped working after a week.,Negative
Amazon,MeeraJain_51,U1278,Very bad customer service experience.,Negative
Amazon,AmitB_10,U1279,"Performance is average, nothing exceptional.",Neutral
Flipkart,PriyaS_91,U1280,The headphones have crystal clear sound and great bass.,Positive
Flipkart,SimranK_63,U1281,Poor build quality and slow performance.,Negative
Flipkart,MeeraJain_79,U1282,"The laptop is fast, lightweight, and perfect for my work.",Positive
Flipkart,RahulK_53,U1283,"Product is decent, but not worth the price.",Neutral
Flipkart,ArjunDev_57,U1284,"Product is decent, but not worth the price.",Neutral
Flipkart,Vinay_88,U1285,"Design is nice, but functionality could be better.",Neutral
Flipkart,SimranK_41,U1286,The product stopped working after a week.,Negative
Amazon,RohitP_34,U1287,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,MeeraJain_10,U1288,"Design is nice, but functionality could be better.",Neutral
Flipkart,ArjunDev_83,U1289,Amazing product quality and quick delivery.,Positive
Amazon,ArjunDev_34,U1290,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,RohitP_61,U1291,"Performance is average, nothing exceptional.",Neutral
Flipkart,SnehaM_47,U1292,"Product is decent, but not worth the price.",Neutral
Flipkart,PriyaS_87,U1293,The product stopped working after a week.,Negative
Flipkart,SimranK_65,U1294,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Flipkart,SimranK_29,U1295,"The delivery was late, and the product packaging was slightly damaged.",Negative
Amazon,ArjunDev_71,U1296,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,AmitB_33,U1297,"Design is nice, but functionality could be better.",Neutral
Amazon,SnehaM_56,U1298,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,KunalV_37,U1299,"The laptop overheats quickly and crashes often, very disappointing.",Negative
Amazon,SimranK_18,U1300,"Design is nice, but functionality could be better.",Neutral
Flipkart,SimranK_79,U1301,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,PriyaS_29,U1302,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,SnehaM_96,U1303,Very bad customer service experience.,Negative
Flipkart,RahulK_38,U1304,The product stopped working after a week.,Negative
Amazon,SimranK_92,U1305,Poor build quality and slow performance.,Negative
Amazon,SimranK_94,U1306,Amazing product quality and quick delivery.,Positive
Flipkart,Vinay_75,U1307,The product stopped working after a week.,Negative
Flipkart,SnehaM_45,U1308,Poor build quality and slow performance.,Negative
Amazon,SimranK_78,U1309,"Product is decent, but not worth the price.",Neutral
Flipkart,RahulK_60,U1310,"Design is nice, but functionality could be better.",Neutral
Amazon,Vinay_24,U1311,Very bad customer service experience.,Negative
Amazon,KunalV_27,U1312,The headphones have crystal clear sound and great bass.,Positive
Amazon,SnehaM_59,U1313,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,SnehaM_26,U1314,The product stopped working after a week.,Negative
Flipkart,PriyaS_56,U1315,"Performance is average, nothing exceptional.",Neutral
Flipkart,RohitP_99,U1316,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Flipkart,RahulK_61,U1317,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,AmitB_22,U1318,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,ArjunDev_27,U1319,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,RahulK_91,U1320,"Performance is average, nothing exceptional.",Neutral
Flipkart,ArjunDev_34,U1321,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,SnehaM_97,U1322,"The delivery was late, and the product packaging was slightly damaged.",Negative
Flipkart,PriyaS_59,U1323,"It's fine for casual use, but not professional work.",Neutral
Flipkart,ArjunDev_67,U1324,"Design is nice, but functionality could be better.",Neutral
Flipkart,KunalV_80,U1325,"This smartwatch is stylish, lightweight, and tracks my fitness perfectly.",Positive
Amazon,KunalV_97,U1326,The headphones have crystal clear sound and great bass.,Positive
Amazon,PriyaS_29,U1327,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Flipkart,SnehaM_41,U1328,The headphones have crystal clear sound and great bass.,Positive
Flipkart,ArjunDev_26,U1329,The headphones have crystal clear sound and great bass.,Positive
Flipkart,PriyaS_83,U1330,"The phone’s battery lasts all day, and the camera quality is amazing.",Positive
Amazon,Vinay_34,U1331,Amazing product quality and quick delivery.,Positive
Flipkart,SnehaM_62,U1332,The headphones have crystal clear sound and great bass.,Positive
Amazon,SnehaM_62,U1333,"The headphones are okay, but the sound isn’t as clear as I expected.",Neutral
Amazon,ArjunDev_57,U1334,Amazing product quality and quick delivery.,Positive
Amazon,SimranK_56,U1335,"The laptop is fast, lightweight, and perfect for my work.",Positive
Amazon,AmitB_46,U1336,Very bad customer service experience.,Negative
Flipkart,Vinay_73,U1337,Very bad customer service experience.,Negative
Amazon,KunalV_14,U1338,"Performance is average, nothing exceptional.",Neutral
Amazon,ArjunDev_82,U1339,Amazing product quality and quick delivery.,Positive
